cod_atividade,ligacao_frente,ligacao_tras
0191,1.9815303198371763,0.9478066606090993
0192,0.9467510425132297,0.977593207028554
0280,0.776449722978339,0.7654295430303187
0580,0.7123076860729187,1.0142064184391133
0680,1.4768758756891638,0.9603088911333357
0791,0.6674256829171857,0.9897426159421794
0792,0.6951586437140201,1.123792832809769
1091,0.8350092533255887,1.354628190024568
1092,0.7194726851702474,1.3478456943565231
1093,1.0372290435768197,1.272476858396337
1100,0.7751448589009653,1.217795461708524
1200,0.609001954881844,1.2012926291567405
1300,1.0043479600445075,1.089128671670882
1400,0.6554985517641568,0.9929993832610039
1500,0.6781238393984065,1.1267146587893482
1600,0.7667106559881105,1.0611646555984904
1700,1.0500454782368456,1.0940234744389545
1800,0.7731692170460158,0.980641173803045
1991,2.886210193535785,1.4074255010327115
1992,0.7554642309168382,1.3213488039275771
2091,1.9097033262876717,1.107101731493828
2092,1.173937626803944,1.0852841782796805
2093,0.6713890900148037,1.1834732685911986
2100,0.6518973403055373,0.961774106883796
2200,1.2489051168162977,1.0903818958623235
2300,0.8936332962246823,1.1465823920352087
2491,1.112861218409913,1.1719213121861896
2492,0.9403802703963703,1.1308315509817313
2500,1.0741038582644113,1.0728003770222427
2600,0.7216223454676872,0.900329699638673
2700,0.8309350549804543,1.1025964128624022
2800,0.8926435649556018,0.9940751646072932
2991,0.6254579443595748,1.1654448739915575
2992,0.8749361397165603,1.1132972100045113
3000,0.7034714070610737,1.0339240088556734
3180,0.6783239495087975,0.9711703251557635
3300,1.1572936706145966,0.9346174805300714
3500,2.101344661993449,1.1794581014732124
3680,0.8172141737010983,0.8832522248404265
4180,0.9526481621496059,0.986212706266518
4900,2.4354937148775093,1.0994902456448876
5000,0.7152643076389248,0.9699717912232719
5100,0.7283214789348592,1.046920689102877
5280,1.3045580871583122,0.9020675115698522
5500,0.6512608964243087,0.9485475373644117
5600,0.7483444734017088,0.9932031006286031
5800,0.6407448931212651,0.9353230022139025
5980,1.1509077085093362,0.9720321855345947
6100,1.046217796732738,1.0185141674432854
6280,0.9627222738748195,0.7802945842267965
6480,2.23941205987559,0.8508580807929733
6800,1.0289638681553326,0.639021438017059
6980,1.9031992388802985,0.8110941984168051
7180,0.9537839134041346,0.8119677778602078
7380,1.2466165770744173,1.113973330037985
7700,0.9102500652726958,0.791273972326899
7880,1.4541071924578235,0.7861940954562309
8000,0.8005433627120615,0.6978953749683883
8400,0.7645591461058785,0.8034416402687546
8591,0.5952137650952772,0.7054675825199359
8592,0.6674203326139705,0.7931004009596624
8691,0.5809753485685257,0.8169896017197724
8692,0.6411649856918149,0.8345588713305772
9080,0.6848644508340453,0.9016986956337001
9480,0.7312231863941596,0.9359680163692935
9700,0.5792377616498902,0.5792377616498902
