cod_atividade,multiplicador_emprego
0191,53.81546842269574
0192,58.4940204018503
0280,29.75352505826791
0580,6.723918135488591
0680,0.5297850715081146
0791,0.272341999961463
0792,1.8518588379428333
1091,3.509651933665628
1092,3.232533897950911
1093,7.101439008702225
1100,2.884374421548865
1200,1.0438428712321066
1300,19.482390952817564
1400,27.373564993550012
1500,12.730171070404902
1600,14.61753383774952
1700,3.326666459190615
1800,12.339026122720531
1991,0.24278347373765374
1992,2.2164811612083954
2091,1.7799212385547725
2092,1.9114507476620082
2093,3.046480354485001
2100,1.5432686059076577
2200,7.3188597930882
2300,9.9269734820159
2491,1.5899666791878506
2492,2.147382484755801
2500,11.113233672144684
2600,1.3814498181494337
2700,3.4140950018017806
2800,4.181476646850873
2991,0.8506159990289337
2992,4.111949236885034
3000,2.8702229349350223
3180,10.673984120755588
3300,13.444914355304391
3500,1.7663713199329891
3680,9.267715828465857
4180,22.286522059488895
4580,96.69476942460177
4900,43.18091821644955
5000,2.7168816368043527
5100,1.5333283874319141
5280,12.764530957804354
5500,15.865621520725941
5600,25.33567837771458
5800,8.552374510470802
5980,7.751725699730018
6100,2.976955133996576
6280,7.025656312216367
6480,7.884692669407553
6800,1.2822162857205424
6980,26.422678870760002
7180,16.30665039765138
7380,13.021141775005688
7700,9.330482970933813
7880,38.33332395430005
8000,25.142215583632527
8400,7.076419811379732
8591,11.74930363026245
8592,22.712075763635315
8691,10.342506535531395
8692,12.110217792818672
9080,30.167955394421618
9480,31.862233258937913
9700,91.05975411799143
