year,hs_product_code,import_value
1994,0101,864932089.0
1994,0102,4824062556.0
1994,0103,1308149086.0
1994,0104,873772877.0
1994,0105,824717953.0
1994,0106,322320808.0
1994,0201,9059789737.0
1994,0202,5228009287.0
1994,0203,8745426755.0
1994,0204,1883297434.0
1994,0205,319155399.0
1994,0206,1403877403.0
1994,0207,6331884759.0
1994,0208,522246872.0
1994,0209,119945738.0
1994,0210,1386389748.0
1994,0301,1195035999.0
1994,0302,5214539570.0
1994,0303,7700329568.0
1994,0304,4833202894.0
1994,0305,2413250931.0
1994,0306,11325567126.0
1994,0307,4331586105.0
1994,0401,2543273483.0
1994,0402,6521339536.0
1994,0403,801101763.0
1994,0404,657208954.0
1994,0405,2908430211.0
1994,0406,9321773100.0
1994,0407,900068931.0
1994,0408,248537006.0
1994,0409,304593588.0
1994,0410,125681992.0
1994,0501,6670032.0
1994,0502,97684223.0
1994,0503,22317918.0
1994,0504,1131615998.0
1994,0505,781003535.0
1994,0506,194868966.0
1994,0507,146161910.0
1994,0508,115217106.0
1994,0509,15683684.0
1994,0510,101975477.0
1994,0511,693982043.0
1994,0601,715687845.0
1994,0602,2622835058.0
1994,0603,3274378215.0
1994,0604,501272056.0
1994,0701,1652627343.0
1994,0702,2387125886.0
1994,0703,1397553858.0
1994,0704,777480211.0
1994,0705,823821163.0
1994,0706,436652626.0
1994,0707,744810399.0
1994,0708,350011716.0
1994,0709,3216530922.0
1994,0710,1869157245.0
1994,0711,429625709.0
1994,0712,1116945605.0
1994,0713,2454235559.0
1994,0714,858272637.0
1994,0801,1073527197.0
1994,0802,2918104971.0
1994,0803,5485597577.0
1994,0804,1278660417.0
1994,0805,4585541908.0
1994,0806,2622673330.0
1994,0807,1025470060.0
1994,0808,3318667743.0
1994,0809,1603310568.0
1994,0810,1908549616.0
1994,0811,998564414.0
1994,0812,244829576.0
1994,0813,558625142.0
1994,0814,30790021.0
1994,0901,11536484032.0
1994,0902,2082669730.0
1994,0903,54211881.0
1994,0904,679803310.0
1994,0905,127642968.0
1994,0906,141003019.0
1994,0907,28701962.0
1994,0908,100702901.0
1994,0909,157985514.0
1994,0910,390942828.0
1994,1001,14795402197.0
1994,1002,123639835.0
1994,1003,2528412512.0
1994,1004,270137485.0
1994,1005,8689853607.0
1994,1006,5914101822.0
1994,1007,878527200.0
1994,1008,235271124.0
1994,1101,1644093352.0
1994,1102,199499234.0
1994,1103,503385821.0
1994,1104,987175495.0
1994,1105,235195102.0
1994,1106,140799461.0
1994,1107,1112975770.0
1994,1108,861141257.0
1994,1109,285089041.0
1994,1201,7372080575.0
1994,1202,1022057923.0
1994,1203,76814431.0
