hs_product_code,no_sh4,dcr,eci,rca,distancia,pci,cog,proporcao_importacao_origem_brasil,dcr_bloco,import_value_total,export_value,import_value,dcr_bloco_normalized,export_value_normalized,import_value_normalized,pci_normalized,density_normalized,cog_normalized,rca_normalized,rcd_normalized,import_value_total_normalized,pci_mean,pci_gt_mean
010121,Cavalos reprodutores de raça pura,0.44193341777854717,0.3911263815,0.2146611332,0.1056578309,-0.1289648048,0.1954439025,0.14,0.21776995930736004,1554709491.0,4794709.0,7804934.0,0.013740172154779507,0.00010080683813703116,0.00033779206323990946,-0.029850679484105205,0.3180830544392737,0.32613870763984026,0.004457931233924328,0.008249060229397734,0.0010897661777288748,-0.10594804557451576,0
010121,Cavalos reprodutores de raça pura,0.44193341777854717,0.3911263815,0.2146611332,0.1056578309,-0.1289648048,0.1954439025,0.14,0.21776995930736004,1554709491.0,4794709.0,7804934.0,0.013740172154779507,0.00010080683813703116,0.00033779206323990946,-0.029850679484105205,0.3180830544392737,0.32613870763984026,0.004457931233924328,0.008249060229397734,0.0010897661777288748,-0.10594804557451576,0
010129,"Cavalos vivos, exceto reprodutores de raça pura",0.15174748555009873,0.3911263815,0.1281038337,0.1039059847,0.1146374203,0.1208581973,0.232,0.1648903943109685,2648388124.0,4874200.0,4565268.0,0.010403741690122136,0.00010247810460395349,0.00019758159351035317,0.026534409101512908,0.3128091188922603,0.20167698132768727,0.0026603701980115976,0.0028324948908699426,0.001856374981783671,-0.10594804557451576,1
010129,"Cavalos vivos, exceto reprodutores de raça pura",0.15174748555009873,0.3911263815,0.1281038337,0.1039059847,0.1146374203,0.1208581973,0.232,0.1648903943109685,2648388124.0,4874200.0,4565268.0,0.010403741690122136,0.00010247810460395349,0.00019758159351035317,0.026534409101512908,0.3128091188922603,0.20167698132768727,0.0026603701980115976,0.0028324948908699426,0.001856374981783671,-0.10594804557451576,1
010221,Bovinos domésticos reprodutores de raça pura,0.04512567046012505,0.3911263815,0.0395493971,0.1154486475,-0.6687131461,0.1633354813,0.448,0.08738010091803285,1139652671.0,647548.0,584197.0,0.005513238067061532,1.3614437585671674e-05,2.528363596265713e-05,-0.15478286360371957,0.3475583221317391,0.2725591440895082,0.000821334025338902,0.000842308724668695,0.0007988340859843461,-0.10594804557451576,0
010221,Bovinos domésticos reprodutores de raça pura,0.04512567046012505,0.3911263815,0.0395493971,0.1154486475,-0.6687131461,0.1633354813,0.448,0.08738010091803285,1139652671.0,647548.0,584197.0,0.005513238067061532,1.3614437585671674e-05,2.528363596265713e-05,-0.15478286360371957,0.3475583221317391,0.2725591440895082,0.000821334025338902,0.000842308724668695,0.0007988340859843461,-0.10594804557451576,0
010229,Outros bovinos domésticos,0.0,0.3911263815,1.6841812251,0.1364896495,-0.5651207699,0.0506684173,0.68,0.004393531261239553,7408833826.0,179266138.0,0.0,0.0002772093822712889,0.0037689988186596288,0.0,-0.13080498201239218,0.41090228942326207,0.0845507684046481,0.03497588955690013,0.0,0.0051931866157163735,-0.10594804557451576,0
010229,Outros bovinos domésticos,0.0,0.3911263815,1.6841812251,0.1364896495,-0.5651207699,0.0506684173,0.68,0.004393531261239553,7408833826.0,179266138.0,0.0,0.0002772093822712889,0.0037689988186596288,0.0,-0.13080498201239218,0.41090228942326207,0.0845507684046481,0.03497588955690013,0.0,0.0051931866157163735,-0.10594804557451576,0
010391,Outros suínos vivos de peso inferior a 50 kg,0.006360109653657929,0.3911263815,8.0317e-06,0.092424957,0.6283158541,0.1270897912,0.0,0.003982926632312048,1559925572.0,180.0,112702.00000000001,0.00025130232738200325,3.78442797355702e-09,4.877663425631054e-06,0.14543235423499754,0.27824546821146723,0.21207568886005612,1.6679668907808608e-07,0.00011871681454261147,0.0010934223647445199,-0.10594804557451576,1
010391,Outros suínos vivos de peso inferior a 50 kg,0.006360109653657929,0.3911263815,8.0317e-06,0.092424957,0.6283158541,0.1270897912,0.0,0.003982926632312048,1559925572.0,180.0,112702.00000000001,0.00025130232738200325,3.78442797355702e-09,4.877663425631054e-06,0.14543235423499754,0.27824546821146723,0.21207568886005612,1.6679668907808608e-07,0.00011871681454261147,0.0010934223647445199,-0.10594804557451576,1
010392,Outros suínos vivos de peso igual ou superior a 50 kg,0.0004920273484023853,0.3911263815,0.041115878,0.1013141382,0.5072753379,0.0599473754,0.578,0.07039550997234195,1910637078.0,1128619.0,10679.0,0.004441597128547498,2.3728762861599727e-05,4.6217962167764555e-07,0.11741586043825863,0.3050063612136741,0.10003463545943242,0.0008538655974374691,9.184105723174764e-06,0.0013392519165621574,-0.10594804557451576,1
010392,Outros suínos vivos de peso igual ou superior a 50 kg,0.0004920273484023853,0.3911263815,0.041115878,0.1013141382,0.5072753379,0.0599473754,0.578,0.07039550997234195,1910637078.0,1128619.0,10679.0,0.004441597128547498,2.3728762861599727e-05,4.6217962167764555e-07,0.11741586043825863,0.3050063612136741,0.10003463545943242,0.0008538655974374691,9.184105723174764e-06,0.0013392519165621574,-0.10594804557451576,1
