hs_product_code,no_sh4,dcr,eci,rca,distancia,pci,cog,proporcao_importacao_origem_brasil,dcr_bloco,export_value,import_value,dcr_bloco_normalized,export_value_normalized,import_value_normalized,pci_normalized,density_normalized,cog_normalized,rca_normalized,rcd_normalized,import_value_total_normalized,pci_mean,pci_gt_mean,import_value_total_2013,import_value_total,import_value_total_2018
010121,Cavalos reprodutores de raça pura,0.4419334177785471,0.3911263815,0.2146611332,0.1056578309,-0.1289648048,0.1954439025,0.14,0.21776995930736,4794709.0,7804934.0,0.0137401721547795,0.000100806838137,0.0003377920632399,-0.0298506794841052,0.3180830544392737,0.3261387076398402,0.0044579312339243,0.0082490602293977,0.0010027404870118649,-0.1059480455745157,0,702634633.0,1483435707.0,1545745477.0
010129,"Cavalos vivos, exceto reprodutores de raça pura",0.1517474855500987,0.3911263815,0.1281038337,0.1039059847,0.1146374203,0.1208581973,0.232,0.1648903943109685,4874200.0,4565268.0,0.0104037416901221,0.0001024781046039,0.0001975815935103,0.0265344091015129,0.3128091188922603,0.2016769813276872,0.0026603701980115,0.0028324948908699,0.0018217308700494955,-0.1059480455745157,1,554204318.0,2695034913.0,1378378361.0
010221,Bovinos domésticos reprodutores de raça pura,0.045125670460125,0.3911263815,0.0395493971,0.1154486475,-0.6687131461,0.1633354813,0.448,0.0873801009180328,647548.0,584197.0,0.0055132380670615,1.3614437585671674e-05,2.528363596265713e-05,-0.1547828636037195,0.3475583221317391,0.2725591440895082,0.0008213340253389,0.0008423087246686,0.0008389544926158752,-0.1059480455745157,0,900290229.0,1241133740.0,1180129533.0
010229,Outros bovinos domésticos,0.0,0.3911263815,1.6841812251,0.1364896495,-0.5651207699,0.0506684173,0.68,0.0043935312612395,179266138.0,0.0,0.0002772093822712,0.0037689988186596,0.0,-0.1308049820123921,0.410902289423262,0.0845507684046481,0.0349758895569001,0.0,0.00510803045982321,-0.1059480455745157,0,2952363472.0,7556725668.0,8260634006.0
010391,Outros suínos vivos de peso inferior a 50 kg,0.0063601096536579,0.3911263815,8.0317e-06,0.092424957,0.6283158541,0.1270897912,0.0,0.003982926632312,180.0,112702.0,0.000251302327382,3.78442797355702e-09,4.877663425631054e-06,0.1454323542349975,0.2782454682114672,0.2120756888600561,1.667966890780861e-07,0.0001187168145426,0.001103030648054798,-0.1059480455745157,1,407434617.0,1631803114.0,1700596613.0
010392,Outros suínos vivos de peso igual ou superior a 50 kg,0.0004920273484023,0.3911263815,0.041115878,0.1013141382,0.5072753379,0.0599473754,0.578,0.0703955099723419,1128619.0,10679.0,0.0044415971285474,2.3728762861599727e-05,4.621796216776457e-07,0.1174158604382586,0.3050063612136741,0.1000346354594324,0.0008538655974374,9.184105723174764e-06,0.001291374350831005,-0.1059480455745157,1,1000934727.0,1910435300.0,1993340971.0
010410,Ovinos vivos,0.0005928751727713,0.3911263815,0.0,0.1240189308,-1.4137100525,-0.0425080607,0.0,0.0118801174636926,0.0,10823.0,0.0007495747333072,0.0,4.684118405672029e-07,-0.3272226537005935,0.3733591725396372,-0.0709335200722053,0.0,1.1066515479388252e-05,0.0011463532276677298,-0.1059480455745157,0,608757961.0,1695893736.0,1524545402.0
010511,"Galos e galinhas vivos, das espécies domésticas, de peso não superior a 185 g",0.0052627292086119,0.3911263815,4.4725735123,0.1315354677,-0.1825566896,0.1193375436,0.949,4.495173434192719,101463608.0,94399.0,0.2836224842390917,0.0021332317578512,4.08552243718963e-06,-0.0422552590017092,0.3959877178693285,0.199139455080299,0.0928832567837427,9.823328235975276e-05,0.0010809497328793103,-0.1059480455745157,0,636883047.0,1599137017.0,1453331015.0
010594,"Galos e galinhas vivos, das espécies domésticas, de peso superior a 185g",0.0,0.3911263815,0.0,0.1045969929,0.2358274819,0.0774389717,0.0,0.0001840524237841,0.0,0.0,1.161276787827618e-05,0.0,0.0,0.0545855172398207,0.314889400088896,0.1292229935451486,0.0,0.0,0.0009644975850176998,-0.1059480455745157,1,296663724.0,1426859866.0,1305724432.0
020110,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",0.0,0.3911263815,0.0022475052,0.1084819284,-0.4419030356,0.1127729197,0.0,0.0036581553160284,78974.0,0.0,0.00023081091612,1.6603967487982897e-06,0.0,-0.1022845411134118,0.3265850040930055,0.1881850178862934,4.667460513288366e-05,0.0,0.0017564497993973068,-0.1059480455745157,0,1340028793.0,2598459306.0,2105441584.0
