hs_product_code,no_sh4,dcr,eci,rca,distancia,pci,cog,proporcao_importacao_origem_brasil,dcr_bloco,import_value_total,import_value_total_2013,export_value,import_value,dcr_bloco_normalized,export_value_normalized,import_value_normalized,pci_normalized,distancia_normalized,cog_normalized,rca_normalized,rcd_normalized,import_value_total_normalized,pci_mean,pci_gt_mean
010121,Cavalos reprodutores de raça pura,0.37010762038819994,0.4420739166,0.1186483762,0.1052530462,-0.1589208543,0.2444038096,0.072,0.4432423687744194,529874690.0,702634633.0,2510512.0,1811864.0000000002,0.017348091839572075,5.799781413758859e-05,0.0001788730502421874,-0.04964461852518124,0.42885447644122443,0.390780915182454,0.002312788411661564,0.006119401341425199,0.0009477709334049981,-4.462745007425016e-12,0
010129,"Cavalos vivos, exceto reprodutores de raça pura",0.17062654668490984,0.4420739166,0.1259388561,0.098487417,0.1645768874,0.1893885741,0.369,0.25540025316816695,767555996.0,554204318.0,5347470.0,1209988.0,0.009996127085193542,0.0001235371793348651,0.00011945391283034699,0.05141148296126865,0.40128785986227866,0.3028162303731047,0.0024549002379519566,0.0028211586607463338,0.0013729043422880283,-4.462745007425016e-12,1
010221,Bovinos domésticos reprodutores de raça pura,0.16107112908860416,0.4420739166,0.0067054255,0.1134408463,-0.5107858154,0.1480305622,0.567,0.020892949003251154,791647019.0,900290229.0,137042.0,1178077.0,0.0008177304870698427,3.1659424233158076e-06,0.0001163035561224051,-0.15956223659443697,0.46221574104936364,0.2366882851219238,0.00013070748111645837,0.002663168303251454,0.0014159952311081593,-4.462745007425016e-12,0
010229,Outros bovinos domésticos,0.00042815413815332134,0.4420739166,1.230064191,0.1352867792,-1.0692618412,0.0610345903,0.907,0.002763442148138996,4934637719.0,2952363472.0,130915422.0,19520.0,0.00010815854159388383,0.003024406301543261,1.9270772755170907e-06,-0.3340222178122718,0.5512271896909292,0.09758912143904704,0.02397738846209896,7.079149044821232e-06,0.00882643818475674,-4.462745007425016e-12,0
010290,Outros bovinos vivos,0.0,0.4420739166,0.3457429349,0.1198529934,-0.8436122376,0.0973869919,0.0,0.009496828935693665,299311598.0,780193026.0,4919838.0,0.0,0.00037169700409431494,0.00011365803067702746,0.0,-0.26353248542048996,0.48834209165597076,0.155713521339269,0.006739495970030634,0.0,0.0005353696599764023,-4.462745007425016e-12,0
010391,Outros suínos vivos de peso inferior a 50 kg,0.018604926240280192,0.4420739166,2.8346e-06,0.092272973,0.7092837128,0.132402899,0.0,0.006317137495277408,972775218.0,407434617.0,62.0,167210.99999999997,0.0002472468544338343,1.432323158196612e-09,1.6507608520311895e-05,0.22157016146923778,0.37596705230171507,0.2117009801472015,5.5254275209338004e-08,0.00030761595903502605,0.001739973797120052,-4.462745007425016e-12,1
010392,Outros suínos vivos de peso igual ou superior a 50 kg,0.0,0.4420739166,0.1226081043,0.1005449345,0.4464401174,0.0710711851,0.9,0.057209528195620994,920332567.0,1000934727.0,3466335.0,0.0,0.002239127437163672,8.007922410592665e-05,0.0,0.1394615541193962,0.40967123328554744,0.11363678332974557,0.0023899745776784797,0.0,0.0016461712033624552,-4.462745007425016e-12,1
010410,Ovinos vivos,0.0,0.4420739166,0.0,0.1079466219,-1.6855783036,0.0127461163,0.0,0.038793828117075234,756811697.0,608757961.0,0.0,0.0,0.0015183541565407202,0.0,0.0,-0.5265507302054827,0.43982947467912153,0.020379956437209294,0.0,0.0,0.001353686337570701,-4.462745007425016e-12,0
010511,"Galos e galinhas vivos, das espécies domésticas, de peso não superior a 185 g",0.0891825333504973,0.4420739166,4.1086577072,0.1314719498,-0.3818840497,0.0741399093,0.958,2.969304500998822,935873620.0,636883047.0,92453596.0,771118.9999999999,0.11621580158371168,0.002135861719505704,7.612735151739052e-05,-0.11929515513690422,0.5356836332418276,0.11854341245832255,0.08008922024080875,0.001474554113866418,0.0016739690178002547,-4.462745007425016e-12,0
010594,"Galos e galinhas vivos, das espécies domésticas, de peso superior a 185g",0.0,0.4420739166,0.0374907798,0.1025269984,0.1362275141,0.0804669377,0.0,0.007167129615415111,914290656.0000001,296663724.0,671680.0,0.0,0.00028051475119161476,1.5517142240282264e-05,0.0,0.042555541246723894,0.41774717034196635,0.12865979301959093,0.000730800065223273,0.0,0.0016353642187374303,-4.462745007425016e-12,1
020110,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",0.0,0.4420739166,0.0152303611,0.1025529651,-0.12723397,0.1278198935,0.0,0.0,1068976753.0,1340028793.0,482969.0,0.0,0.0,1.115754328050096e-05,0.0,-0.0397460857602145,0.41785297189294707,0.2043731439465001,0.00029688229865130735,0.0,0.0019120465915800848,-4.462745007425016e-12,0
020120,"Outras peças de bovino, não desossadas, frescas ou refrigeradas",0.008357567785755714,0.4420739166,0.0155421385,0.1069443008,-0.236976693,0.1395765359,0.0,0.011350708345551339,3195745753.0,2066567064.0,1205516.0,246761.0,0.00044425611064053614,2.784981426413785e-05,2.436104075737053e-05,-0.07402815429833734,0.43574550840844756,0.2231710157311666,0.0003029597114304127,0.00013818497296965175,0.005716134384991796,-4.462745007425016e-12,0
020130,"Carnes de bovino, desossadas, frescas ou refrigeradas",0.00017396026269308337,0.4420739166,3.6880651113,0.1623647211,-0.8343513725,0.2210338196,0.908,0.6842459730126239,11593333675.0,6660250640.0,1073656881.0,18633.0,0.02678074754789872,0.02480360668731361,1.8395097784175178e-06,-0.26063952264900386,0.6615565057143773,0.3534142878170645,0.07189069521263247,2.876278699050193e-06,0.02073664752402185,-4.462745007425016e-12,0
