hs_product_code,no_sh4,dcr,eci,coi,rca,distancia,pci,cog,Sector,import_value_bloco,proporcao_importacao_origem_brasil,dcr_bloco,import_value_total,import_value_total_2013,export_value,import_value,import_value_normalized,import_value_total_normalized,export_value_normalized,eci_normalized,pci_normalized,rca_normalized,rcd_normalized,coi_normalized,cog_normalized,distancia_normalized,dcr_bloco_normalized,import_value_bloco_normalized,pci_gt_mean
0602,"Outras plantas vivas (incluídas as suas raízes), estacas e enxertos; micélios de cogumelos",0.2799015216176778,-0.16482677,0.47313067,0.0584,0.85,-0.86,0.0826,Agriculture,46110293.0,0.0492109863626327,0.2908918636543046,11907233212.0,8770251967,10234317.0,33093911.0,0.002608061184544185,0.012123527516723841,0.0001976193921948333,-1.0,-0.2551928783382789,0.0015956284153005463,0.007981030249223304,1.0,0.05900000000000001,0.9259259259259258,0.007092186915055224,0.0025355786991346067,False
0603,"Flores e seus botões, cortados para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo",0.0219910512079536,-0.16482677,0.47313067,0.0064,0.832,-1.58,-0.0547,Agriculture,2614738.0,0.0708885555646493,0.0187154654102238,10522234767.0,9238634386,1010090.0,2297661.0,0.00018107380748503787,0.010713370643197979,1.9504317861375525e-05,-1.0,-0.4688427299703264,0.00017486338797814208,0.000627046412211471,1.0,-0.039071428571428576,0.906318082788671,0.00045629869885016193,0.00014378295051427722,False
0604,"Folhagem, folhas, ramos e outras partes de plantas, sem flores nem botões de flores, e ervas, musgos e líquenes, para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo",0.0086723489378004,-0.16482677,0.47313067,0.108,0.847,-0.902,-0.0046,Agriculture,1632282.0,0.0019230745667721,0.0751073082704262,1633713842.0,1359467819,2639905.0,140684.0,1.1087008715482862e-05,0.001663390173460191,5.097520641114609e-05,-1.0,-0.26765578635014836,0.0029508196721311475,0.00024728082507156045,1.0,-0.003285714285714286,0.9226579520697167,0.0018311789895009438,8.975825571485381e-05,False
0701,"Batatas, frescas ou refrigeradas",0.1730714925646552,-0.16482677,0.47313067,0.0348,0.849,-0.762,0.079,Agriculture,9767215.0,0.1977424475656571,0.1700406380119763,4316190131.0,4794945687,2235665.0,7417509.0,0.0005845582079708607,0.004394593512106176,4.3169540131624024e-05,-1.0,-0.22611275964391692,0.0009508196721311474,0.004934909997822252,1.0,0.05642857142857143,0.9248366013071895,0.00414573296339887,0.0005370935791682784,False
0702,"Tomates, frescos ou refrigerados",0.000782037023785,-0.16482677,0.47313067,0.0063,0.849,-1.24,-0.0872,Agriculture,711757.0,0.8408459628777799,0.0051793980568469,10310201310.0,9022223887,965380.0,80062.0,6.309517015289506e-06,0.01049748560889673,1.864099078004406e-05,-1.0,-0.36795252225519287,0.0001721311475409836,2.2298775322007597e-05,1.0,-0.06228571428571429,0.9248366013071895,0.00012627805626865446,3.91391112643754e-05,False
0703,"Cebolas, chalotas, alho comum, alho-porro e outros produtos hortícolas aliáceos, frescos ou refrigerados",2.302794286676056,-0.16482677,0.47313067,0.026,0.821,-1.98,-0.37,Agriculture,73781537.0,0.0266212806057428,0.7608166190389478,7295805268.0,6179045758,2807396.0,166824700.0,0.013147102036179052,0.007428333211288477,5.4209371389434806e-05,-1.0,-0.5875370919881305,0.0007103825136612021,0.06566120381726234,1.0,-0.2642857142857143,0.8943355119825707,0.018549345459579456,0.004057204616041191,False
0704,"Couves, couve-flor, repolho ou couve frisada, couve-rábano e produtos comestíveis semelhantes do género Brassica, frescos ou refrigerados",5.39983445395432e-05,-0.16482677,0.47313067,0.0146,0.863,-1.04,0.175,Agriculture,1195162.0,0.2217942002841456,0.0225468638558983,3976260045.0,2642827535,866682.0,2132.0,1.6801841418647082e-07,0.004048488612839565,1.673518321410237e-05,-1.0,-0.3086053412462908,0.0003989071038251366,1.539693027345293e-06,1.0,0.125,0.9400871459694988,0.0005497113972371747,6.572127635829846e-05,False
0705,"Alface (Lactuca sativa) e chicórias (Cichorium spp.), frescas ou refrigeradas",0.0119631174206913,-0.16482677,0.47313067,0.0071,0.861,-0.518,0.37,Agriculture,273313.0,0.3117012363114817,0.0063039112282646,3252337321.0,2640708366,345591.0,386342.0,3.044679651671178e-05,0.003311415868219866,6.673184284599025e-06,-1.0,-0.1537091988130564,0.00019398907103825136,0.0003411128366067354,1.0,0.2642857142857143,0.9379084967320261,0.00015369462784252855,1.5029325903363415e-05,False
0706,"Cenouras, nabos, beterrabas para salada, cercefi, aipo-rábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados",0.010289672068492,-0.16482677,0.47313067,0.0243,0.851,-0.771,0.0941,Agriculture,2510008.0,0.1512612708804115,0.0886726874217497,2123421224.0,1915583616,766368.0,216955.0,1.7097765032751303e-05,0.0021619930659303377,1.4798171520148341e-05,-1.0,-0.2287833827893175,0.0006639344262295081,0.0002933967045216526,1.0,0.06721428571428573,0.9270152505446623,0.0021619142782304803,0.00013802390757867132,False
0707,"Pepinos e pepininhos (cornichons), frescos ou refrigerados",0.0,-0.16482677,0.47313067,0.0028,0.855,-0.946,0.0267,Agriculture,29570.0,0.4077105174163003,0.0007213204322808,3075004113.0,2469393555,127035.0,0.0,0.0,0.0031308614112323047,2.4529804468115114e-06,-1.0,-0.2807121661721068,7.650273224043716e-05,0.0,1.0,0.019071428571428573,0.9313725490196078,1.7586395394899748e-05,1.626037425817492e-06,False
