hs_product_code,pgi,pgi_standirized,pgi_standirized_less_one
0101,32.226824945399976,0.554985795360598,0.445014204639402
0102,41.48579525973566,0.714436719019003,0.28556328098099704
0103,30.36926095755935,0.522996245382542,0.47700375461745803
0104,37.33620331087613,0.6429756119424753,0.3570243880575247
0105,37.76471510855179,0.650355115236931,0.349644884763069
0106,38.35301759790663,0.660486411929062,0.339513588070938
0201,42.170745110750104,0.7262324028473485,0.27376759715265153
0202,42.50915076641457,0.7320601669004833,0.26793983309951674
0203,33.95852183698258,0.5848077582231116,0.4151922417768884
0204,36.26454680011975,0.6245203610146179,0.37547963898538206
0205,37.49374718884422,0.6456887124283733,0.35431128757162667
0206,40.875367282085655,0.7039243940456176,0.2960756059543824
0207,37.042820003424886,0.6379231884255073,0.3620768115744927
0208,28.535966178850074,0.49142464121066937,0.5085753587893307
0209,35.034930621067666,0.603344849177021,0.396655150822979
0210,36.27713544246533,0.6247371530099978,0.37526284699000223
0301,35.05246407949179,0.6036467970228117,0.39635320297718835
0302,33.683084666819404,0.5800643893925218,0.4199356106074782
0303,34.6389353815997,0.5965253212431496,0.4034746787568504
0304,34.86643969734945,0.6004432270200376,0.3995567729799624
0305,33.96318118614774,0.5848879979801052,0.41511200201989484
0306,43.14779541253687,0.7430584178135495,0.25694158218645047
0307,37.14009469142293,0.6395983788973739,0.3604016211026261
0308,34.726647953389644,0.5980358402440267,0.4019641597559733
0309,31.100834933635333,0.5355948543260395,0.4644051456739605
0401,34.507886571893124,0.5942684986114045,0.4057315013885955
0402,36.26152836790929,0.6244683798776645,0.37553162012233554
0403,35.95554195568766,0.6191989153044689,0.3808010846955311
0404,31.831629606081048,0.548180042696899,0.451819957303101
0405,32.6131539957419,0.5616388595590778,0.4383611404409222
0406,34.25628206546226,0.5899355577351494,0.4100644422648506
0407,36.24000398909456,0.6240977034453328,0.3759022965546672
0408,33.888104568556535,0.5835950857432517,0.4164049142567483
0409,35.51165389682602,0.6115546137694657,0.38844538623053426
0410,39.76876873990355,0.6848673981076582,0.3151326018923418
0501,34.78020519504516,0.5989581622043149,0.40104183779568514
0502,42.79166747719561,0.7369254541790506,0.26307454582094936
