hs_product_code,pgi
0101,0.3144946632217298
0102,0.4063699648374831
0103,0.3124700748331814
0104,0.3777746940520754
0105,0.3705520592846316
0106,0.3713700789334316
0201,0.41470340159109553
0202,0.4275444998882735
0203,0.34602244867611814
0204,0.36793014752467096
0205,0.3704117563206957
0206,0.4032719362000018
0207,0.3883878387559379
0208,0.325605266600947
0209,0.35109876099150866
0210,0.341954696859349
0301,0.3609764187377635
0302,0.34552621198882194
0303,0.39072658447067143
0304,0.4342112375132758
0305,0.3571549545607693
0306,0.4350585514344476
0307,0.3788783964241309
0401,0.3396008741601013
0402,0.3710554871950709
0403,0.3411482244192554
0404,0.3290414188423581
0405,0.30799577045434207
0406,0.33245522032638464
0407,0.35644214555937787
0408,0.3336245041104335
0409,0.3569998623422147
0410,0.3994635149878318
0501,0.34510112332009896
0502,0.4154582617448609
0504,0.386091449905855
0505,0.33953857856286945
0506,0.3360383624819667
0507,0.3733713400222953
0508,0.37221511196701873
0510,0.42967328931353704
0511,0.3878937719348802
0601,0.3300563761432123
0602,0.38621439804331126
0603,0.4172012563875937
0604,0.4069778150304672
0701,0.34111674827886757
0702,0.367291538396026
0703,0.3628915351429237
0704,0.3894617851020135
0705,0.3636465768299898
0706,0.3654876986346088
0707,0.35888602981041495
0708,0.42124373415300975
0709,0.3792554958176593
0710,0.38281861861015465
0711,0.34560858929267846
0712,0.3658429980065055
0713,0.386659143857074
0714,0.37517873635005616
0801,0.4062109255546848
0802,0.38531085433198875
0803,0.4649365332104703
0804,0.42332390395138575
0805,0.39912657892710784
0806,0.3884866141572437
0807,0.4425470704606308
0808,0.3471146072926543
0809,0.3793375318780785
0810,0.3896816248998668
0811,0.37662065005497763
0812,0.40871006394290127
0813,0.33948559052988203
0814,0.37732176698830794
0901,0.4242275486412987
0902,0.4024825970150957
0903,0.4614226766522615
0904,0.3987876613375616
0905,0.425132397862429
0906,0.39078210522759493
0907,0.4176544818738279
0908,0.4717585292978974
0909,0.34924821979964354
0910,0.3753304311955536
1001,0.32553812838433094
1002,0.3294746443476603
1003,0.3193028742716736
1004,0.3244682176586188
1005,0.37124071884300586
1006,0.3671230575214847
1007,0.4004172293307145
1008,0.3932446144572514
1101,0.37468507532981066
1102,0.42346382697528445
1103,0.4223699619490586
1104,0.37834474930773
1105,0.30308773780736514
1106,0.3994717673551599
1107,0.3827933601563794
1108,0.3674691539165164
1109,0.3405657927551305
1201,0.45720497763803253
1202,0.4025862368542019
1203,0.3825739635693322
