HS6 ID,Trade Value,Trade Value Relatedness,Trade Value RCA,pci,participacao_brasil,dcr_bloco,dcr,imp_total,exp_brasil,imp_brasil
851762,115483913.0,0.0923506469,0.03704443,0.3882615341,0.007,0.9694580233153066,0.6835531018021437,216989634229.0,115483913.0,1684901001.0
851769,2206988.0,0.0976721082,0.018715495,0.1891127485,0.011,1.0139152642885962,0.44225249248797965,8208032470.0,2206988.0,41235617.0
851771,5360154.0,0.0848898892,0.0601278626,0.3591971393,0.025,1.0505708656278556,0.7906217810269037,6205001836.0,5360154.0,55728048.0
851779,36355899.0,0.0787089946,0.0365037832,0.6929362053,0.005,0.9966676496583073,2.1862373433655375,69323012142.0,36355899.0,1721622284.0
851810,607855.0,0.087480528,0.0103279374,-0.054404178,0.002,0.8308295242572689,0.828004300168113,4096630641.0,607855.0,38532088.0
851821,9557648.0,0.0844961316,0.1252324509,0.581946591,0.002,1.914468850305692,1.6003296065525863,5312201801.0,9557648.0,96571093.0
851822,236284.0,0.090798285,0.0016997556,0.7473941693,0.0,1.5157713766410439,0.9126594424908419,9675830114.0,236284.0,100313672.0
851829,8692793.0,0.0770900791,0.095939759,-0.407841992,0.056,1.2340987612632233,0.717922047752041,6306684829.0,8692793.0,51432965.0
851830,844363.0,0.0965951642,0.0029083224,0.2333964257,0.002,0.9526243144939055,0.5771004979675058,20208173285.0,844363.0,132477355.0
851840,24635254.0,0.0919442507,0.4244367841,0.5959359476,0.059,0.5696777422373728,0.40728154824963086,4040028626.0,24635254.0,18691421.0
851850,508258.0,0.099615638,0.0339792889,0.1498472833,0.004,2.9200438777468363,0.47222306567321315,1041142921.0,508258.0,5584968.0
851890,1462236.0,0.0819614827,0.023290401,-0.043421319,0.021,0.25505951788534265,0.8240231395400268,4369994782.0,1462236.0,40905666.0
851981,818807.0,0.0713078222,0.0285057379,0.076644987,0.001,0.9390566448784966,0.40471078261790105,1999353890.0,818807.0,9191737.0
851989,19312.0,0.0939734698,0.0012835572,0.1975716997,0.001,0.448588788337531,0.18154239198243327,1047254979.0,19312.0,2159701.0
852190,492062.0,0.0834640562,0.0093237166,0.4936332681,0.002,2.0051296122651694,1.9235256421660605,3673424978.0,492061.99999999994,80266125.0
852290,44544.0,0.0826364562,0.0022541915,0.4217185147,0.0,0.39530718746241666,0.7141592385609481,1375431039.0,44543.99999999999,11158274.0
852329,249889.0,0.07633597,0.0049324575,1.2566046827,0.0,0.41701626318244833,0.21484831959152328,3526340160.0,249889.0,8606356.0
852349,2650593.0,0.0974640724,0.0195293794,1.1597017744,0.024,0.5550845381578213,0.18983288896321326,9447023980.0,2650593.0,20371810.0
852351,5380492.0,0.086978925,0.0075572044,0.9034951976,0.004,0.296893721410406,0.35181390859768963,49556569188.0,5380492.0,198051155.0
852352,71817566.0,0.1052778268,0.7670264766,0.3269294525,0.271,2.066189985488455,0.7961805680635997,6517195366.0,71817566.0,58943437.00000001
852359,8664475.0,0.0955913399,0.4397806516,-0.0683212189,0.154,1.099042475130549,0.37921879148550125,1371344433.0,8664475.0,5907443.0
