Seção;Descrição da seção;Divisão;Descrição da divisão;Grupo;Descrição do grupo;Classe;Descrição da classe;classe_sdv
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.61-3;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";4661
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.62-1;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";4662
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.63-0;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";4663
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.64-8;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";4664
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.65-6;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";4665
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.6;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46.69-9;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";4669
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.7;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46.71-1;Comércio atacadista de madeira e produtos derivados;4671
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.7;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46.72-9;Comércio atacadista de ferragens e ferramentas;4672
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.7;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46.73-7;Comércio atacadista de material elétrico;4673
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.7;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46.74-5;Comércio atacadista de cimento;4674
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.7;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46.79-6;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral;4679
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.81-8;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP;4681
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.82-6;Comércio atacadista de gás liquefeito de petróleo (GLP);4682
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.83-4;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;4683
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.84-2;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;4684
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.85-1;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;4685
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.86-9;Comércio atacadista de papel e papelão em bruto e de embalagens;4686
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.87-7;Comércio atacadista de resíduos e sucatas;4687
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.8;Comércio atacadista especializado em outros produtos;46.89-3;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente;4689
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.9;Comércio atacadista não especializado;46.91-5;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;4691
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.9;Comércio atacadista não especializado;46.92-3;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;4692
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46.9;Comércio atacadista não especializado;46.93-1;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;4693
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.11-3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;4711
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.12-1;"Comércio varejista de mercadorias em geral, com
predominância de produtos alimentícios - minimercados,
mercearias e armazéns";4712
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.13-0;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;4713
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios, bebidas e fumo;47.21-1;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;4721
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios, bebidas e fumo;47.22-9;Comércio varejista de carnes e pescados - açougues e peixarias;4722
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios, bebidas e fumo;47.23-7;Comércio varejista de bebidas;4723
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios, bebidas e fumo;47.24-5;Comércio varejista de hortifrutigranjeiros;4724
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios, bebidas e fumo;47.29-6;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";4729
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.3;Comércio varejista de combustíveis para veículos automotores;47.31-8;Comércio varejista de combustíveis para veículos automotores;4731
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.3;Comércio varejista de combustíveis para veículos automotores;47.32-6;Comércio varejista de lubrificantes;4732
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.41-5;Comércio varejista de tintas e materiais para pintura;4741
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.42-3;Comércio varejista de material elétrico;4742
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.43-1;Comércio varejista de vidros;4743
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens, madeira e materiais de construção;4744
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.51-2;Comércio varejista especializado de equipamentos e suprimentos de informática;4751
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.52-1;Comércio varejista especializado de equipamentos de telefonia e comunicação;4752
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.53-9;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;4753
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.54-7;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação;4754
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.55-5;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho;4755
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.56-3;Comércio varejista especializado de instrumentos musicais e acessórios;4756
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.57-1;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;4757
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.5;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47.59-8;Comércio varejista de artigos de uso doméstico não especificados anteriormente;4759
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais, recreativos e esportivos;47.61-0;Comércio varejista de livros, jornais, revistas e papelaria;4761
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais, recreativos e esportivos;47.62-8;Comércio varejista de discos, CDs, DVDs e fitas;4762
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais, recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;4763
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;4771
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47.72-5;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;4772
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47.73-3;Comércio varejista de artigos médicos e ortopédicos;4773
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47.74-1;Comércio varejista de artigos de óptica;4774
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.81-4;Comércio varejista de artigos do vestuário e acessórios;4781
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.82-2;Comércio varejista de calçados e artigos de viagem;4782
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.83-1;Comércio varejista de jóias e relógios;4783
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.84-9;Comércio varejista de gás liqüefeito de petróleo (GLP);4784
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.85-7;Comércio varejista de artigos usados;4785
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.89-0;Comércio varejista de outros produtos novos não especificados anteriormente;4789
G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";47;COMÉRCIO VAREJISTA;47.9;Comércio ambulante e outros tipos de comércio varejista;47.90-3;Comércio ambulante e outros tipos de comércio varejista;4790
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.1;Transporte ferroviário e metroferroviário;49.11-6;Transporte ferroviário de carga;4911
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.1;Transporte ferroviário e metroferroviário;49.12-4;Transporte metroferroviário de passageiros;4912
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.2;Transporte rodoviário de passageiros;49.21-3;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana;4921
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.2;Transporte rodoviário de passageiros;49.22-1;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional;4922
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.2;Transporte rodoviário de passageiros;49.23-0;Transporte rodoviário de táxi;4923
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.2;Transporte rodoviário de passageiros;49.24-8;Transporte escolar;4924
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.2;Transporte rodoviário de passageiros;49.29-9;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente;4929
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.3;Transporte rodoviário de carga;49.30-2;Transporte rodoviário de carga;4930
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.4;Transporte dutoviário;49.40-0;Transporte dutoviário;4940
H;TRANSPORTE, ARMAZENAGEM E CORREIO;49;TRANSPORTE TERRESTRE;49.5;Trens turísticos, teleféricos e similares;49.50-7;Trens turísticos, teleféricos e similares;4950
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.1;Transporte marítimo de cabotagem e longo curso;50.11-4;Transporte marítimo de cabotagem;5011
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.1;Transporte marítimo de cabotagem e longo curso;50.12-2;Transporte marítimo de longo curso;5012
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.2;Transporte por navegação interior;50.21-1;Transporte por navegação interior de carga;5021
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.2;Transporte por navegação interior;50.22-0;Transporte por navegação interior de passageiros em linhas regulares;5022
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.3;Navegação de apoio;50.30-1;Navegação de apoio;5030
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.9;Outros transportes aquaviários;50.91-2;Transporte por navegação de travessia;5091
H;TRANSPORTE, ARMAZENAGEM E CORREIO;50;TRANSPORTE AQUAVIÁRIO;50.9;Outros transportes aquaviários;50.99-8;Transportes aquaviários não especificados anteriormente;5099
H;TRANSPORTE, ARMAZENAGEM E CORREIO;51;TRANSPORTE AÉREO;51.1;Transporte aéreo de passageiros;51.11-1;Transporte aéreo de passageiros regular;5111
H;TRANSPORTE, ARMAZENAGEM E CORREIO;51;TRANSPORTE AÉREO;51.1;Transporte aéreo de passageiros;51.12-9;Transporte aéreo de passageiros não regular;5112
H;TRANSPORTE, ARMAZENAGEM E CORREIO;51;TRANSPORTE AÉREO;51.2;Transporte aéreo de carga;51.20-0;Transporte aéreo de carga;5120
H;TRANSPORTE, ARMAZENAGEM E CORREIO;51;TRANSPORTE AÉREO;51.3;Transporte espacial;51.30-7;Transporte espacial;5130
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.1;Armazenamento, carga e descarga;52.11-7;Armazenamento;5211
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.1;Armazenamento, carga e descarga;52.12-5;Carga e descarga;5212
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.2;Atividades auxiliares dos transportes terrestres;52.21-4;Concessionárias de rodovias, pontes, túneis e serviços relacionados;5221
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.2;Atividades auxiliares dos transportes terrestres;52.22-2;Terminais rodoviários e ferroviários;5222
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.2;Atividades auxiliares dos transportes terrestres;52.23-1;Estacionamento de veículos;5223
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.2;Atividades auxiliares dos transportes terrestres;52.29-0;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;5229
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.3;Atividades auxiliares dos transportes aquaviários;52.31-1;Gestão de portos e terminais;5231
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.3;Atividades auxiliares dos transportes aquaviários;52.32-0;Atividades de agenciamento marítimo;5232
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.3;Atividades auxiliares dos transportes aquaviários;52.39-7;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;5239
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.4;Atividades auxiliares dos transportes aéreos;52.40-1;Atividades auxiliares dos transportes aéreos;5240
H;TRANSPORTE, ARMAZENAGEM E CORREIO;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52.5;Atividades relacionadas à organização do transporte de carga;52.50-8;Atividades relacionadas à organização do transporte de carga;5250
H;TRANSPORTE, ARMAZENAGEM E CORREIO;53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;53.1;Atividades de Correio;53.10-5;Atividades de Correio;5310
H;TRANSPORTE, ARMAZENAGEM E CORREIO;53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;53.2;Atividades de malote e de entrega;53.20-2;Atividades de malote e de entrega;5320
I;ALOJAMENTO E ALIMENTAÇÃO;55;ALOJAMENTO;55.1;Hotéis e similares;55.10-8;Hotéis e similares;5510
I;ALOJAMENTO E ALIMENTAÇÃO;55;ALOJAMENTO;55.9;Outros tipos de alojamento não especificados anteriormente;55.90-6;Outros tipos de alojamento não especificados anteriormente;5590
I;ALOJAMENTO E ALIMENTAÇÃO;56;ALIMENTAÇÃO;56.1;Restaurantes e outros serviços de alimentação e bebidas;56.11-2;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;5611
I;ALOJAMENTO E ALIMENTAÇÃO;56;ALIMENTAÇÃO;56.1;Restaurantes e outros serviços de alimentação e bebidas;56.12-1;Serviços ambulantes de alimentação;5612
I;ALOJAMENTO E ALIMENTAÇÃO;56;ALIMENTAÇÃO;56.2;Serviços de catering, bufê e outros serviços de comida preparada;56.20-1;Serviços de catering, bufê e outros serviços de comida preparada;5620
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.1;Edição de livros, jornais, revistas e outras atividades de edição;58.11-5;Edição de livros;5811
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.1;Edição de livros, jornais, revistas e outras atividades de edição;58.12-3;Edição de jornais;5812
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.1;Edição de livros, jornais, revistas e outras atividades de edição;58.13-1;Edição de revistas;5813
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.1;Edição de livros, jornais, revistas e outras atividades de edição;58.19-1;Edição de cadastros, listas e outros produtos gráficos;5819
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.2;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58.21-2;Edição integrada à impressão de livros;5821
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.2;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58.22-1;Edição integrada à impressão de jornais;5822
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.2;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58.23-9;Edição integrada à impressão de revistas;5823
J;INFORMAÇÃO E COMUNICAÇÃO;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58.2;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58.29-8;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;5829
J;INFORMAÇÃO E COMUNICAÇÃO;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";59.1;Atividades cinematográficas, produção de vídeos e de programas de televisão;59.11-1;Atividades de produção cinematográfica, de vídeos e de programas de televisão;5911
