,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
71,2006,10821.0,42.0,1.0,41.0,84.0,3606,0.02329450915141431
72,2006,10911.0,20.0,1.0,47.0,68.0,72713,0.0009351835297677169
73,2006,10929.0,39.0,0.0,58.0,97.0,34505,0.002811186784523982
74,2006,10937.0,78.0,3.0,70.0,151.0,29052,0.005197576758915049
75,2006,10945.0,57.0,0.0,99.0,156.0,41023,0.003802744801696609
76,2006,10953.0,20.0,2.0,17.0,39.0,7387,0.0052795451468796535
77,2006,10961.0,26.0,0.0,20.0,46.0,8868,0.005187189896256202
78,2006,10996.0,273.0,12.0,200.0,485.0,73455,0.006602681914097066
79,2006,11119.0,39.0,1.0,81.0,121.0,13262,0.009123812396320314
80,2006,11127.0,17.0,0.0,14.0,31.0,5151,0.006018248883711901
81,2006,11135.0,86.0,0.0,145.0,231.0,30334,0.007615217247972572
82,2006,11216.0,16.0,1.0,25.0,42.0,9575,0.004386422976501305
83,2006,11224.0,87.0,4.0,200.0,291.0,45833,0.006349137084633342
84,2006,12107.0,2.0,0.0,6.0,8.0,534,0.0149812734082397
85,2006,12204.0,24.0,80.0,103.0,207.0,15305,0.0135249918327344
86,2006,13111.0,41.0,0.0,52.0,93.0,29760,0.003125
87,2006,13120.0,11.0,0.0,15.0,26.0,10644,0.0024426907177752723
88,2006,13138.0,23.0,0.0,26.0,49.0,14858,0.003297886660384978
89,2006,13146.0,5.0,0.0,24.0,29.0,8622,0.003363488749710044
90,2006,13219.0,66.0,1.0,93.0,160.0,36046,0.0044387726793541585
91,2006,13227.0,6.0,0.0,10.0,16.0,4203,0.0038068046633357128
92,2006,13235.0,42.0,1.0,30.0,73.0,14274,0.005114193638783803
93,2006,13308.0,21.0,0.0,36.0,57.0,21356,0.0026690391459074734
94,2006,13405.0,15.0,0.0,41.0,56.0,34253,0.0016348932940180422
95,2006,13511.0,81.0,1.0,65.0,147.0,51689,0.0028439319777902455
96,2006,13529.0,11.0,0.0,13.0,24.0,6381,0.0037611659614480487
97,2006,13537.0,2.0,0.0,4.0,6.0,3737,0.0016055659620016055
98,2006,13545.0,39.0,1.0,26.0,66.0,8789,0.007509386733416771
99,2006,13596.0,48.0,3.0,87.0,138.0,47863,0.0028832292167227293
100,2006,14118.0,25.0,0.0,51.0,76.0,71435,0.0010639042486176244
101,2006,14126.0,37.0,0.0,274.0,311.0,429549,0.0007240151880227867
102,2006,14134.0,12.0,0.0,6.0,18.0,19048,0.0009449811003779924
103,2006,14142.0,3.0,0.0,11.0,14.0,22701,0.0006167129201356768
104,2006,14215.0,12.0,2.0,27.0,41.0,9436,0.004345061466723188
105,2006,14223.0,6.0,1.0,3.0,10.0,17893,0.0005588777734309506
106,2006,15106.0,53.0,0.0,75.0,128.0,46055,0.002779285636738682
107,2006,15211.0,1.0,0.0,4.0,5.0,14675,0.00034071550255536625
108,2006,15297.0,16.0,0.0,9.0,25.0,19280,0.0012966804979253112
109,2006,15319.0,66.0,0.0,97.0,163.0,208580,0.0007814747339150446
110,2006,15327.0,4.0,0.0,5.0,9.0,10217,0.0008808847998433983
111,2006,15335.0,18.0,2.0,60.0,80.0,33460,0.002390914524805738
112,2006,15394.0,11.0,0.0,22.0,33.0,42965,0.0007680670313045502
113,2006,16102.0,64.0,0.0,26.0,90.0,100982,0.0008912479451783486
114,2006,16218.0,156.0,0.0,102.0,258.0,52200,0.0049425287356321835
115,2006,16226.0,32.0,0.0,8.0,40.0,31538,0.0012683112435791742
116,2006,16234.0,9.0,0.0,5.0,14.0,12848,0.0010896637608966376
117,2006,16293.0,26.0,0.0,9.0,35.0,30365,0.0011526428453811955
118,2006,17109.0,290.0,23.0,204.0,517.0,13031,0.039674622055099376
119,2006,17214.0,467.0,13.0,159.0,639.0,33220,0.019235400361228176
120,2006,17222.0,18.0,0.0,10.0,28.0,5307,0.0052760504993404934
121,2006,17311.0,69.0,4.0,49.0,122.0,18795,0.006491088055333865
122,2006,17320.0,14.0,0.0,13.0,27.0,6582,0.004102096627164996
123,2006,17338.0,80.0,1.0,82.0,163.0,26298,0.006198189976424063
124,2006,17419.0,20.0,0.0,40.0,60.0,22090,0.002716161158895428
125,2006,17427.0,122.0,22.0,95.0,239.0,14954,0.015982345860639294
126,2006,17494.0,30.0,0.0,36.0,66.0,14142,0.004666949512091642
