,hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized,pgi,pei,pei_standarized,pgi_standirized,pei_inverted,import_total_2013,growth,growth_standarized
0,0101,Horses,7854872.0,5117939.0,1.1270481671868409,0.145015709616932,0.5777313041293136,0.1830500888504418,0.1563108649544273,2815126968.0,0.6650369906062681,0.7932972830631654,0.64388451496186,0.0,0.6399908307742036,0.0043490860356948,0.0051286594840686,0.0,0.6101514340515827,0.192624198444638,0.3140909015035673,4208.964236153723,0.0368784359366008,0.6859090984964327,0.9631215640633992,2227341232.0,587785736.0,0.77196826124639
1,0102,Bovine,98980839.0,893546.0,-0.0098509018499494,0.1629262033342345,0.1052808951145595,0.729927978841702,0.0086359282314436,8896105789.0,0.5899026354227687,0.8352478926114103,0.7466436104904666,0.0,0.5251216939280391,0.0173423547608169,0.000283350330387,0.0,0.3346516871492413,0.2374816200815644,0.4023640212278044,994.0181006948828,0.0064016033326583,0.5976359787721957,0.9935983966673416,8163568472.0,732537317.0,0.7803850237650769
2,0103,Swine,4401888.0,4180900.0,1.6079734491008248,0.1446509258647702,0.4913564515786043,0.0849397807100118,0.1057316857505323,3399825851.0,0.6563313322349721,0.8001778180809196,0.62039883429322,0.0,0.688582190839052,0.0020180837741232,0.0034691242547287,0.0,0.5597837138371542,0.1917105855183114,0.3105075740990649,1092.3815270860496,0.0073340624016952,0.6894924259009352,0.9926659375983048,4642521045.0,-1242695194.0,
3,0105,Fowl,91242314.0,851937.0,0.6060329473594785,0.1649957654196207,0.0,1.8788159988876785,0.022991042718782,3185963970.0,0.5878498190657427,0.797809065073736,0.7433420913292226,0.0,0.5873488942863947,0.0446387787939212,0.0007543508208638,0.0,0.2732592967432308,0.242664906513154,0.3655431729699507,2011.0490052176783,0.0160427852760546,0.6344568270300492,0.9839572147239454,3012865873.0,173098097.0,0.7252299373971763
4,0106,Other live animals,606967.0,526387.0,-0.5522599063014589,0.1553660899807052,-0.0138109709536631,0.0275891163282177,0.0313574757513831,1443298327.0,0.5671226153434779,0.768939506108427,0.5400457310022863,0.0,0.4703181886250401,0.0006554896603095,0.0010288588413586,0.0,0.2652057128546179,0.2185470670940828,0.3708109621637661,527.2188617674605,0.001976470946293,0.6291890378362339,0.998023529053707,1112698402.0,330599925.0,0.7499677336695687
5,0201,Beef,968563855.0,129698133.0,0.1437326063960411,0.1936376546847231,0.0,2.398992537853728,0.4210150229613831,26486719955.0,0.80419206233367,0.8750263715054655,0.8391460622460952,0.0,0.540639346731616,0.0569976502695953,0.0138137722612936,0.0,0.2732592967432308,0.3143994618817566,0.4104941799438228,2087.3046971310187,0.0167656689137952,0.5895058200561771,0.9832343310862048,19650181182.0,6836538773.0,0.8657762369367106
6,0202,Beef (frozen),6404753733.0,138373167.0,-1.197723884287423,0.2672247958674506,-0.0,15.125604499436616,0.4282776540711071,27779121929.0,0.8069792659503202,0.8767633511799975,0.9157545571274345,0.0,0.4051022938848359,0.3593691525803619,0.014052063834506,0.0,0.2732592967432308,0.4987008815517651,0.4265656062280927,2243.7807023681994,0.0182490197437047,0.5734343937719073,0.9817509802562951,17531783250.0,10247338679.0,0.8812499721572725
7,0203,Pork,2330615500.0,19000265.0,1.982743830909243,0.1708828600371665,0.0,4.374352888599554,0.0467375639760923,34953094708.0,0.7215048143534407,0.8851389268069796,0.8747567213711809,0.0,0.72644795346151,0.1039302257785487,0.0015334893759185,0.0,0.2732592967432308,0.2574093289530901,0.3433243477149711,4667.298258739984,0.0412233203279716,0.6566756522850288,0.9587766796720284,28403286910.0,6549807798.0,0.8641381693673834
8,0204,Lamb,1755941.0,20351872.0,-0.7732276884814655,0.1786580184083674,0.0005868740058395,0.0140853049366126,0.2139557320190907,8178477905.0,0.7244631615030522,0.8321813667434692,0.5831272110885376,0.0,0.4479922151933499,0.0003346526810941,0.0070200244526219,0.0,0.2736015202591539,0.2768824692727175,0.3676295664943472,1308.5447662232614,0.009383232302755,0.6323704335056528,0.990616767697245,5458242511.0,2720235394.0,0.8305433733518732
9,0205,Horse meat,7020884.0,0.0,0.5384928400483289,0.1862180046183394,0.0,1.3773510808064038,0.0,334407464.0,-inf,0.7156237262742337,0.6393323745946403,0.0,0.5805248286849495,0.0327244766140407,0.0,0.0,0.2732592967432308,0.2958167038249706,0.3702911374544383,1044.8130545461993,0.006883125958676,0.6297088625455617,0.993116874041324,444960081.0,-110552617.0,
10,0206,Edible offal,195845965.0,15757439.0,0.2696745201860583,0.2080244722808704,0.0,1.5506213333838414,0.1635083704531687,8285861934.0,0.7134485517385944,0.8326569680817926,0.7743187398433279,0.0,0.5533641692983808,0.0368412035745042,0.0053648142443185,0.0,0.2732592967432308,0.3504317205737926,0.3994189070561604,3118.9191872775364,0.0265450993624829,0.6005810929438395,0.973454900637517,5330559942.0,2955301992.0,0.8337121036965052
11,0207,Poultry,6395711629.0,48268260.0,0.9338964230052128,0.1715065805724229,0.0,16.107089329698873,0.1593136787174599,26049574005.0,0.7616405992145336,0.8744196092093512,0.915697261290673,0.0,0.6204753128722738,0.382688245165056,0.0052271837247806,0.0,0.2732592967432308,0.2589714575842275,0.385357505459153,5044.719945021236,0.0448011773337313,0.614642494540847,0.9551988226662688,22633535325.0,3416038680.0,0.8392511314727387
