hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized,pgi,pei,pei_standarized,pgi_standirized,pei_inverted
8419,Equipment for temperature change of materials,125191528.0,386251102.0,2.8811161575699336,0.1222714916182067,0.9745637392808464,0.1902698710955373,0.7693572392314075,43165197773.0,0.0315185386365475,0.0528901927926982,0.0024485944587036,0.0,0.8172170081124419,0.0045206208016165,0.0252431032402734,0.0,0.8415561134863567,0.1356605550814532,0.32391724303973796,7322.931708222594,0.0663980177216997,0.6760827569602621,0.9336019822783003
8420,"Calendering or other rolling machines, other than for metals or glass",10833951.0,12837625.0,3.926847984012249,0.1069149257683605,1.0415949188650546,0.4916920570258535,0.763579464782682,1445514636.0,0.0010475651136498,0.0017605723489388,0.0002118989424305,0.0,0.9228748589696536,0.0116821088288046,0.0250535307640933,0.0,0.8806439683334422,0.097199529936384,0.3072724291730065,2860.1255218031515,0.0240918043804511,0.6927275708269935,0.9759081956195489
8421,Centrifuges,372632435.0,947442150.0,2.4371087663924147,0.1207394054762039,0.8941320342531982,0.2923060350467458,0.9740316269359904,83631847589.0,0.0773123800968952,0.1024841563644788,0.0072882385098315,0.0,0.7723557295988711,0.0069448974494068,0.0319586008478972,0.0,0.7946540176150654,0.1318233948590345,0.35890818554965587,3160.50147194715,0.0269392883397686,0.6410918144503441,0.9730607116602314
8422,Dish washing machines,81356272.0,456114268.0,2.73033812521331,0.1223983004493079,0.8927998614815941,0.1604356576268426,1.1788179665306162,33267407632.0,0.0372194541431718,0.0407599411922853,0.0015912300135835,0.0,0.801982812831728,0.0038117898909216,0.0386777716686581,0.0,0.7938771884401843,0.1359781519770931,0.3286340041025652,2216.672428076224,0.0179920405275785,0.6713659958974347,0.9820079594724215
8423,Weighing machinery,6412638.0,68389133.0,2.49947375748397,0.0973835196794308,0.7802358798055095,0.0852141630013897,1.1910373632966715,4936893522.0,0.0055806327014194,0.0060394369961205,0.0001254234222021,0.0,0.7786569157738013,0.0020246028214472,0.0390786978943053,0.0,0.7282378157772376,0.0733278093421692,0.34260652808836384,16435.198727639312,0.152779880711623,0.6573934719116361,0.847220119288377
8424,Sprays and powder dispersers,307917610.0,382865502.0,2.000146921307979,0.1142454512195651,0.7340451387105603,0.8404982740053767,1.369656819478138,24034025639.0,0.0312422697434482,0.0294439559973824,0.0060224950172609,0.0,0.7282063135719218,0.0199693937842827,0.0449393165291734,0.0,0.7013026343527409,0.1155590724579415,0.35324873927833184,10110.32212748659,0.0928217360766629,0.6467512607216681,0.9071782639233371
8425,Pulleys and winches,15649745.0,87368131.0,2.676297417567822,0.1176449345059198,0.8866605063091528,0.1376490761719005,1.0071225267151034,7458693883.0,0.0071293409863888,0.009130033223073,0.0003060900326028,0.0,0.7965226892280977,0.0032704036297662,0.0330443344406196,0.0,0.7902971496384859,0.1240731903561199,0.32237754338977637,9782.357965333536,0.0897127232195612,0.6776224566102236,0.9102872767804389
8426,Ships' derricks; cranes,40319310.0,89145204.0,2.25074229436587,0.1254033815122668,0.9127654402459552,0.2008094032306268,0.5818783072067888,13172186304.0,0.0072743522076395,0.0161322124566671,0.0007885968054064,0.0,0.7535257768248828,0.0047710294865799,0.0190917995348563,0.0,0.8055197053930452,0.1435044765118581,0.31023343066683834,5944.775749054919,0.0533334664975205,0.6897665693331616,0.9466665335024795
8427,Fork-lift trucks,13246122.0,292140870.0,3.0997284360955346,0.1176656281188011,1.1402332698959985,0.0431245504089812,1.246497400953863,20150832320.0,0.0238390343761649,0.024684902582278,0.0002590780817733,0.0,0.8393049879710978,0.0010245959516171,0.0408983772121844,0.0,0.93816289566501,0.1241250181914023,0.3257815626220043,9454.140291179823,0.0866013071362525,0.6742184373779957,0.9133986928637475
8428,Other lifting machinery,145554371.0,305222935.0,2.8192740628674726,0.1247759799827085,0.9585991540393398,0.3041613174137023,0.8359092329933178,31394248395.0,0.0249065460777842,0.0384642880708551,0.0028468669722658,0.0,0.8109686539421382,0.0072265670367594,0.0274267167343848,0.0,0.8322466936837409,0.1419331287092087,0.31347183416529817,4625.440041391106,0.0408265155824205,0.6865281658347018,0.9591734844175795
