hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized
0101,Horses,6568342.0,4784656.0,1.2209683153041229,0.1588210538159337,0.5685235057505706,0.18195389581424945,0.14831976248992118,2657230070.0,0.0005419020361531243,0.0044045036945405906,0.0002353107859949139,0.0,0.5810048097787965,0.004390598430124653,0.005854228264750031,0.0,0.48532944128718275,0.2270007727475647
0103,Swine,3842094.0,2731332.0,1.7015990103955556,0.16586212749848633,0.683989173615639,0.07843688987979734,0.06239784185055537,4057486912.0,0.00030934603704220015,0.006725553735943014,0.00013764297885316304,0.0,0.6327061506402282,0.0018927041052293231,0.0024628626913136163,0.0,0.5474669346923866,0.24732268354763948
0104,Sheep,0.0,1795.0,-2.0576373253202154,0.2027756538248387,-0.1332171284211996,0.0,0.00011970098919983815,1548506357.0,2.032986603205869e-07,0.0025666956990539323,0.0,0.0,0.22832590369293992,0.0,4.724636168021436e-06,0.0,0.10768988111101456,0.3538623141694835
0106,Other live animals,295380.0,346217.0,-1.3036187083814352,0.19064595878860677,-0.06686096615697872,0.02265289140229717,0.029712120238374447,1192754713.0,3.921195113103768e-05,0.001977005762702112,1.0581985524989056e-05,0.0,0.30943552471454583,0.00054662060948805,0.0011727468490044476,0.0,0.1433992453863417,0.3188536504809862
0204,Lamb,3359758.0,21332774.0,-2.3009862047184098,0.222860671162329,-0.08433529448919684,0.048109500577936504,0.3418321345691272,6252890240.0,0.0024161138580066003,0.010364629677233377,0.00012036329651115912,0.0,0.20214891689100453,0.0011608957135339718,0.013492223223661151,0.0,0.133995489433772,0.41183158833882566
0208,Other meat,190188.0,66746.0,0.4615504622336661,0.18039554440310207,0.5049364604359718,0.030601736943153685,0.012017964496238183,526347059.0,7.559538931341445e-06,0.0008723759072976335,6.813483184462789e-06,0.0,0.4993143940836793,0.0007384284770624623,0.00047435288634190513,0.0,0.4511102687664857,0.28926895698144145
0209,Pig and poultry fat,2726650.0,4443689.0,1.6923747504114717,0.16752532241824225,0.8851077267189345,0.30638761984520396,0.5587636997288657,823621833.0,0.0005032846911316593,0.0013651352395891848,9.768220878770198e-05,0.0,0.6317138989706987,0.0073932190167297985,0.022054581192383647,0.0,0.6556982643870626,0.25212298820659657
0301,Live Fish,5530485.0,445850.0,-1.1610306126645697,0.17469522134953228,0.10843871061644067,0.27769588012092566,0.025051728220582395,1412375554.0,5.04962159910494e-05,0.0023410468063207977,0.00019812956942301136,0.0,0.32477369561109604,0.006700879307116964,0.0009887996917452952,0.0,0.237736226333542,0.2728167137797685
0302,"Fish, excluding fillets",29692000.0,371665888.0,-1.503097164086826,0.18563708130582404,-0.15279754244453297,0.14092122667432846,1.9739328346277525,19043869704.0,0.04209424909039627,0.0315668138223152,0.001063715600947847,0.0,0.28797766998686464,0.0034004686398096465,0.0779117576727592,0.0,0.09715274163274269,0.3043970539443183
0303,"Frozen fish, excluding fillets",87794960.0,141967216.0,-1.7714702255323171,0.19905800594178102,-0.18011518014440855,0.3767360364313303,0.6817079266002724,20610659340.0,0.016078966474787404,0.03416390675586053,0.0031452535577459312,0.0,0.25910883728532497,0.009090745997631147,0.02690722898426059,0.0,0.08245183907177207,0.34313245789020713
0304,Fish fillets,11119951.0,169528096.0,-1.4138542581549158,0.19676247415211523,-0.0858562071599027,0.04704827331789645,0.8026481392806655,21611813638.0,0.01920046507158766,0.03582340889512814,0.00039837213257697736,0.0,0.2975775102512752,0.0011352880027395078,0.031680777697747436,0.0,0.13317701496605133,0.3365071057959777
0305,Preserved fish,29376254.0,89462312.0,-1.6599500599675272,0.19892095235808907,-0.15239060739139515,0.46314229228336345,1.5783410492335574,5470281585.0,0.010132349960324439,0.009067386345434934,0.0010524040036779805,0.0,0.27110503759394583,0.011175753134187196,0.062297623908790976,0.0,0.09737173247779844,0.3427368945389075
0306,Crustaceans,68576208.0,5112544.0,-2.43431143803563,0.21780148639714692,-0.33047321612606173,0.28894266169053173,0.02410560172746377,21328739975.0,0.0005790380757827602,0.03535418916520513,0.0024567419609135307,0.0,0.1878071501175524,0.006972267294070965,0.0009514557777242607,0.0,0.0015371252700268623,0.3972297951813573
0307,Molluscs,877972.0,16627373.0,-2.0892801980775046,0.2015118221545817,-0.1416089000535276,0.009199408682414133,0.1949600367164088,8129575429.0,0.001883188108941893,0.013475402004834519,3.14533380572337e-05,0.0,0.22492208665219038,0.0002219843061800463,0.007695134743217123,0.0,0.10317387506260967,0.3502146496757978
0401,Milk,15494800.0,29459.0,0.7635488185252177,0.17675221236475447,0.4086056019188763,0.1657170855048524,0.00035256729165632195,8245411889.0,3.336476453695916e-06,0.013667411222154173,0.0005551010539393338,0.0,0.5318002925451817,0.003998799653101228,1.3915943292998896e-05,0.0,0.39927011405644214,0.2787535907125413
0402,"Milk, concentrated",30566784.0,310895392.0,-0.2150966416424493,0.1927328905843364,0.28492556814857856,0.13961631885990886,1.5890714218120008,18910393333.0,0.03521148562308842,0.03134556488630336,0.0010950547289371897,0.0,0.4265276101398354,0.0033689808490382027,0.06272115513204446,0.0,0.33271208494827426,0.3248769423411108
0403,Fermented milk products,1325680.0,1392836.0,0.6928836091905388,0.1780403224346088,0.37882958537105804,0.027489889554656487,0.032320418500573274,4331704042.0,0.00015775024671102228,0.007180092976066045,4.7492472648004236e-05,0.0,0.524198851122133,0.0006633387286534958,0.0012756972121463815,0.0,0.3832462424928582,0.2824713273987974
