hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized
010111,"Cavalos reprodutores, de raça pura",2684314.0,2460546.0,1.2328111211653319,0.12710278875127257,0.40468169537742676,0.14790831442337504,0.1568426979453535,1526251794.0,0.00019391043009046155,0.0014661135833430332,5.646381193118063e-05,0.0,0.6438835604880401,0.002305007780273088,0.0035773241268639453,0.0,0.683498227065723,0.17520306148832498
010119,"Outros cavalos, vivos",5170558.0,2703165.0,1.5947111343505207,0.11554304289549143,0.5704045002153301,0.1657529894939959,0.10024669324266712,1961903281.0,0.00021303072072437684,0.001884599291405887,0.00010876127550326134,0.0,0.6705676815534122,0.0025830997525505156,0.0022864622903915432,0.0,0.7341264615562195,0.14042737040809955
010120,Asininos e muares vivos,0.0,,-0.07834346065190739,0.107109028390583,-0.03919534116387918,0.0,,122449.0,,1.1762419731299662e-07,0.0,0.0,0.5472076657051204,0.0,,0.0,0.5478940130715122,0.11505495421071799
010210,Bovinos reprodutores de raça pura,132758.0,873473.0,-0.018074334882014268,0.13501199986262488,0.2754051712750837,0.008627700145623977,0.06566854154471402,1331190370.0,6.883656111383641e-05,0.0012787380766036552,2.7925282751420577e-06,0.0,0.5516515137016802,0.00013445434787798274,0.001497791488678178,0.0,0.6440043132210258,0.19899668859121844
010310,Suínos reprodutores de raça pura,998065.0,4499730.0,1.5458393082433086,0.12278617554839583,0.5292210745737902,0.29314572062230754,1.5289198959287842,297250026.0,0.00035461421147621404,0.00028553761737145565,2.099402471361167e-05,0.0,0.6669641952947274,0.004568392043560423,0.034872149633985466,0.0,0.7215449454966691,0.16221720443498927
010391,Outros suínos vivos de peso inferior a 50 kg,0.0,171950.0,2.060410016406524,0.11639814247018462,0.355109414430016,0.0,0.011391239090473076,1531025456.0,1.3551016097262505e-05,0.0014706991508935527,0.0,0.0,0.7049052468920238,0.0,0.00025981543908039026,0.0,0.6683539198806672,0.14299980400857454
010392,Outros suínos vivos de peso igual ou superior a 50 kg,3403823.0,0.0,1.8588725343116455,0.11992621889253999,0.5221641052423979,0.14706310579471854,0.0,1589627587.0,0.0,0.0015269922085723094,7.15984872555994e-05,0.0,0.6900452016433432,0.0022918360226703975,0.0,0.0,0.7193890448742326,0.15361347123810953
010410,Ovinos vivos,0.0,,-1.9336180793391602,0.1387802014470352,-0.21327416871404561,0.0,,1466917644.0,,0.0014091173500785808,0.0,0.0,0.4104119466366337,0.0,,0.0,0.4947130177965349,0.21033273489036214
010420,Caprinos vivos,0.0,,-3.008366581585591,0.1592624759525637,-0.36618927271282375,0.0,,366239099.0,,0.00035180834506210834,0.0,0.0,0.3311670776012302,0.0,,0.0,0.44799752954516714,0.27195046072197426
010519,"Patos, gansos, galinhas d'angola e outras aves vivas, da espécie doméstica, de peso não superior a 185 g",0.0,79493.0,1.5688903857029035,0.11248606037842812,0.6670777243260181,0.0,0.03674518799124311,218201794.0,6.264675327826044e-06,0.00020960408718328317,0.0,0.0,0.6686638297772063,0.0,0.0008380973374547815,0.0,0.7636600834618801,0.13123091566096706
010599,"Patos, gansos, perus, galinhas d'angola e outras aves vivas, das espécies domésticas, de peso superior a 185 g",535641.0,0.0,0.6617195930582098,0.12599891550090606,0.4006055847201633,0.18545162477038665,0.0,245610335.0,0.0,0.00023593266181145783,1.1267062156897265e-05,0.0,0.6017750362542463,0.0028900838984374953,0.0,0.0,0.6822529772863279,0.17188223111494166
010600,Outros animais vivos,714742.0,526387.0,-1.7900280471509968,0.1350396489301379,-0.17861769634063643,0.038878557034886956,0.03312375274641124,1590900445.0,4.148344699267065e-05,0.0015282149127229634,1.5034402781237927e-05,0.0,0.420999328960737,0.0006058846441498142,0.0007554983523255774,0.0,0.5053005528774828,0.19907986649516934
020110,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",459939.0,0.0,0.07990507878381246,0.12582222722564915,0.3367426441623852,0.01914177687642765,0.0,2098539534.0,0.0,0.0020158517277914885,9.674691260342601e-06,0.0,0.5588758697141659,0.00029830604723221903,0.0,0.0,0.6627428806947674,0.1713506920175869
020120,"Outras peças de bovino, não desossadas, frescas ou refrigeradas",1227796.0,1117135.0,0.7079047504814936,0.12819798485280667,0.4588524123602612,0.021302918414474924,0.022422916142584067,4994002204.0,8.80390483734536e-05,0.004797225788898529,2.582635356141489e-05,0.0,0.6051804252766433,0.00033198534429466366,0.0005114298591029139,0.0,0.700047354173533,0.1784977880138368
020311,"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas ",428790.0,294169.0,1.9278194731572134,0.1243737287591319,0.7332489620234401,0.017347737150100212,0.013767929490062553,2147134732.0,2.318283718706376e-05,0.0020625321511352165,9.019480551817314e-06,0.0,0.6951288943656767,0.00027034767624120853,0.0003140238403634366,0.0,0.7838753636820543,0.1669931104729553
020312,"Pernas, pás e pedaços de suíno, não desossados, frescos ou refrigerados ",1944553.0,121584.0,3.1026280081856146,0.11898795181239094,0.946723456272142,0.04593431478079656,0.0033225186625710137,3685110704.0,9.581778081823578e-06,0.0035399079499835186,4.090314131737684e-05,0.0,0.7817515305502428,0.0007158417926944906,7.578118923784512e-05,0.0,0.8490917155482611,0.15079084117884312
